iter	Passed	Remaining
782	8350	23178783	8362	23078784	8368	22978785	8379	22878786	8388	22778787	8396	22578788	8405	224789	8372	2225
790	8385	2215
791	8392	2204
792	8401	2193
793	8414	2183
794	8420	2171
795	8426	2159
796	8434	2148
797	8452	2139
798	8484	2134
799	8506	2126
800	8525	2117
801	8531	2106
802	8553	2098
803	8579	2091
804	8596	2082
805	8618	2074
806	8627	2063
807	8635	2051
808	8646	2041
809	8656	2030
810	8667	2019
811	8688	2011
812	8703	2001
813	8711	1990
814	8730	1981
815	8738	1970
816	8752	1960
817	8778	1953
818	8800	1944
819	8822	1936
820	8843	1928
821	8864	1919
822	8879	1909
823	8892	1899
824	8899	1887
825	8913	1877
826	8938	1869
827	8958	1860
828	8975	1851
829	8980	1839
830	8986	1827
831	8992	1815
832	8997	1803
833	9003	1792
834	9008	1780
835	9014	1768
836	9020	1756
837	9025	1744
838	9033	1733
839	9039	1721
840	9053	1711
841	9057	1699
842	9064	1688
843	9069	1676
844	9074	1664
845	9080	1652
846	9085	1641
847	9092	1629
848	9099	1618
849	9106	1606
850	9112	1595
851	9119	1584
852	9124	1572
853	9129	1560
854	9134	1549
855	9139	1537
856	9145	1526
857	9150	1514
858	9155	1502
859	9166	1492
860	9174	1481
861	9180	1469
862	9185	1458
863	9191	1446
864	9196	1435
865	9202	1423
866	9209	1412
86867	9284	1411
868	9301	1402
869	9307	1390
870	9314	1379
871	9323	1368
872	9341	1358
873	9347	1347
874	9353	1336
875	9360	1325
876	9367	1313
877	9374	1302
878	9383	1291
879	9391	1280
880	9399	1269
881	9407	1258
882	9415	1247
883	9429	1237
884	9437	1226
885	9444	1215
886	9453	1204
887	9464	1193
888	9480	1183
889	9490	1172
890	9497	1161
891	9504	1150
892	9509	1139
893	9516	1128
894	9522	1117
895	9528	1106
896	9534	1094
897	9539	1083
898	9546	1072
899	9553	1061
900	9561	1050
901	9567	1039
902	9578	1028
903	9583	1017
904	9588	1006
905	9592	995
906	9597	984
907	9602	972
908	9607	961
909	9612	950
910	9616	939
911	9621	928
912	9626	917
913	9631	906
914	9635	895
915	9640	884
916	9645	873
917	9650	861
918	9655	850
919	9659	839
920	9664	828
921	9669	818
922	9674	807
923	9678	796
924	9683	785
925	9689	774
926	9694	763
927	9699	7592928	9703	7492929	9708	73930	9615	712
931	9621	701
932	9627	691
933	9634	680
934	9641	670
935	9648	659
936	9655	649
937	9664	638
938	9673	628
939	9680	617
